23,5292,857,66,171,1,1989
23,4408,236,199,26,1,1990
23,696,348,520,432,2,1979
23,4915,288,110,142,1,1985
23,4247,415,327,331,2,1989
23,3536,242,143,289,1,1988
23,5111,361,81,41,1,1987
23,1579,354,56,77,1,1981
23,3914,299,210,69,1,1992
23,5455,1173,117,29,1,1989
23,4282,1180,117,29,1,1989
23,4768,504,227,303,1,1988
23,2505,235,199,26,2,1990
23,142,256,59,2,1,1984
23,1407,590,67,250,1,1982
23,3914,150,333,210,1,1992
23,4631,447,77,175,2,1979
23,2790,329,90,2,1,1980
23,5739,277,38,24,1,1990
23,790,883,91,182,1,1970
23,3385,1116,69,310,1,1986
23,4701,128,66,164,1,1984
23,2593,1633,26,202,1,1984
23,5732,617,75,197,1,1982
23,908,768,230,340,1,1987
23,1587,137,289,141,1,1976
23,4798,335,291,337,2,1987
23,616,640,112,264,2,1987
23,220,614,383,68,1,1986
23,3933,1071,53,115,1,1992
23,1791,539,224,58,2,1991
23,1587,139,141,289,1,1976
23,3237,855,210,77,0,0
23,2039,348,256,240,2,1992
23,182,200,172,180,1,1991
23,2090,326,145,99,1,1988
23,5717,2408,374,344,2,1983
23,4550,695,26,321,1,1987
23,4590,442,295,460,1,1957
23,4979,956,376,21,1,1985
23,2768,359,374,130,1,1987
23,4569,521,45,24,1,1985
23,194,237,118,28,2,1988
23,2610,220,118,28,1,1989
23,1562,771,327,309,2,1987
23,5111,130,43,81,1,1987
23,27,566,117,288,1,1991
23,1852,393,123,511,1,1987
22,4837,216,449,451,1,1977
22,2993,481,199,96,1,1987
22,3022,559,303,303,2,1981
22,3921,677,21,202,1,1995
22,3743,613,66,145,1,1989
22,4345,357,504,310,1,1966
22,739,262,479,474,1,1993
22,1407,782,126,67,1,1995
22,242,1303,81,172,0,0
22,4517,597,463,311,1,1989
22,4874,874,219,229,1,1989
22,182,1376,81,172,0,0
22,2101,228,240,312,1,1988
22,5453,912,2,39,0,0
22,4740,262,240,312,2,1989
22,1752,918,2,39,0,0
22,5003,929,2,39,0,0
22,1848,956,2,39,0,0
22,5731,1189,210,144,1,1983
22,2090,181,142,145,1,1988
22,461,1494,81,172,0,0
22,2679,419,300,340,2,1990
22,2211,988,195,181,0,0
22,1052,115,333,61,1,1990
22,2895,187,213,159,1,1987
22,2496,678,46,144,1,1985
22,2330,153,254,240,1,1993
22,2165,424,111,199,1,1985
22,3947,909,86,302,1,1988
22,1079,850,5,132,2,1985
22,5694,1471,13,489,1,1980
22,3870,225,130,128,2,1982
22,5367,595,340,301,1,1971
22,5527,1802,520,232,1,1971
22,3264,487,299,300,1,1969
22,5202,716,537,530,0,0
22,5548,722,77,46,1,1992
22,5915,815,56,22,2,1973
22,3228,1147,16,230,1,1974
22,3886,601,156,118,1,1990
22,4645,754,196,45,1,1995
22,3351,475,198,81,1,1989
22,5148,1383,284,2,0,0
22,3077,125,75,77,1,1977
22,1800,1475,284,2,0,0
22,2219,1517,284,2,0,0
22,1354,1470,284,2,0,0
22,2108,604,71,277,2,1987
22,2059,362,149,148,1,1993
22,125,373,219,130,1,1988
22,2586,294,37,192,1,1968
22,3991,566,447,515,1,1984
22,2936,452,195,174,0,0
22,757,428,74,77,1,1986
22,2546,416,313,118,2,1992
22,2875,323,100,181,1,1986
22,3743,562,145,66,1,1989
22,470,732,106,340,1,1960
22,2377,758,161,86,0,0
22,4310,753,161,86,0,0
22,2831,375,176,141,1,1989
22,5267,221,452,455,1,1987
22,5146,172,213,159,1,1977
22,351,414,215,214,1,1975
22,5694,1383,47,13,1,1980
22,1799,568,45,45,0,0
22,3462,408,31,74,1,1991
22,4569,580,45,45,0,0
22,2411,629,45,45,0,0
22,3547,1043,62,33,0,0
22,3502,381,231,232,1,1956
22,3821,505,215,198,0,0
22,295,477,148,237,1,1991
22,2481,547,215,198,0,0
22,4280,1176,226,460,1,1981
22,2055,387,161,52,1,1962
22,3351,592,215,198,0,0
22,1454,1001,172,331,0,0
22,3133,1022,172,331,0,0
22,269,550,69,509,1,1982
22,4875,279,181,24,2,1987
22,2028,246,174,44,1,1977
22,1542,1798,337,376,1,1987
22,5559,807,505,289,1,1990
22,5453,2108,2,2,0,0
22,2098,557,425,423,1,1996
22,2650,443,425,426,2,1998
22,5003,2166,2,2,0,0
22,2656,1264,198,288,1,1979
22,3928,177,225,144,1,1983
22,2008,239,603,604,1,1997
22,5153,190,225,144,2,1993
22,4226,1239,291,32,1,1988
22,2887,496,258,502,2,1971
22,1552,254,290,503,1,1992
21,1252,595,176,74,1,1986
21,2773,636,216,502,1,1983
21,2802,359,331,289,1,1983
21,4988,206,125,24,1,1988
21,2431,964,35,2,0,0
21,4612,242,420,426,1,1992
21,4082,1026,35,2,0,0
21,5340,634,37,168,1,1973
21,4837,190,447,449,1,1987
21,1934,165,148,149,1,1994
21,2164,620,172,74,1,1981
21,602,632,90,59,2,1993
21,4875,185,337,181,1,1991
